Post-2019 Westminster Parliamentary constituencies Code,Post-2019 Westminster Parliamentary constituencies,Sex (2 categories) Code,Sex (2 categories),Observation
E14001222,Ellesmere Port and Bromborough,1,Female,49011
E14001222,Ellesmere Port and Bromborough,2,Male,46132
E14001223,Eltham and Chislehurst,1,Female,57518
E14001223,Eltham and Chislehurst,2,Male,52902
E14001224,Ely and East Cambridgeshire,1,Female,53637
E14001224,Ely and East Cambridgeshire,2,Male,51832
E14001225,Enfield North,1,Female,67350
E14001225,Enfield North,2,Male,60026
E14001226,Epping Forest,1,Female,52938
E14001226,Epping Forest,2,Male,49675
E14001227,Epsom and Ewell,1,Female,55622
E14001227,Epsom and Ewell,2,Male,52236
E14001228,Erewash,1,Female,48340
E14001228,Erewash,2,Male,46833
E14001229,Erith and Thamesmead,1,Female,68986
E14001229,Erith and Thamesmead,2,Male,65983
E14001230,Esher and Walton,1,Female,53113
E14001230,Esher and Walton,2,Male,49816
E14001231,Exeter,1,Female,52121
E14001231,Exeter,2,Male,49573
E14001232,Exmouth and Exeter East,1,Female,51361
E14001232,Exmouth and Exeter East,2,Male,48569
E14001233,Fareham and Waterlooville,1,Female,50579
E14001233,Fareham and Waterlooville,2,Male,48230
E14001234,Farnham and Bordon,1,Female,51326
E14001234,Farnham and Bordon,2,Male,48870
E14001235,Faversham and Mid Kent,1,Female,50800
E14001235,Faversham and Mid Kent,2,Male,48272
E14001236,Feltham and Heston,1,Female,66376
E14001236,Feltham and Heston,2,Male,66777
E14001237,Filton and Bradley Stoke,1,Female,53769
E14001237,Filton and Bradley Stoke,2,Male,53572
E14001238,Finchley and Golders Green,1,Female,65378
E14001238,Finchley and Golders Green,2,Male,60749
E14001239,Folkestone and Hythe,1,Female,47000
E14001239,Folkestone and Hythe,2,Male,44833
E14001240,Forest of Dean,1,Female,46734
E14001240,Forest of Dean,2,Male,44826
E14001241,Frome and East Somerset,1,Female,47140
E14001241,Frome and East Somerset,2,Male,45006
E14001242,Fylde,1,Female,49178
E14001242,Fylde,2,Male,47098
E14001243,Gainsborough,1,Female,48464
E14001243,Gainsborough,2,Male,46689
E14001244,Gateshead Central and Whickham,1,Female,49232
E14001244,Gateshead Central and Whickham,2,Male,48748
E14001245,Gedling,1,Female,52105
E14001245,Gedling,2,Male,48976
E14001246,Gillingham and Rainham,1,Female,52490
E14001246,Gillingham and Rainham,2,Male,49823
E14001247,Glastonbury and Somerton,1,Female,47046
E14001247,Glastonbury and Somerton,2,Male,44917
E14001248,Gloucester,1,Female,58826
E14001248,Gloucester,2,Male,57591
E14001249,Godalming and Ash,1,Female,49773
E14001249,Godalming and Ash,2,Male,46707
E14001250,Goole and Pocklington,1,Female,52183
E14001250,Goole and Pocklington,2,Male,51221
E14001251,Gorton and Denton,1,Female,57727
E14001251,Gorton and Denton,2,Male,55963
E14001252,Gosport,1,Female,49136
E14001252,Gosport,2,Male,47134
E14001253,Grantham and Bourne,1,Female,50738
E14001253,Grantham and Bourne,2,Male,48117
E14001254,Gravesham,1,Female,54667
E14001254,Gravesham,2,Male,52233
E14001255,Great Grimsby and Cleethorpes,1,Female,54792
E14001255,Great Grimsby and Cleethorpes,2,Male,52643
E14001256,Great Yarmouth,1,Female,50853
E14001256,Great Yarmouth,2,Male,48892
E14001257,Greenwich and Woolwich,1,Female,60456
E14001257,Greenwich and Woolwich,2,Male,56999
E14001258,Guildford,1,Female,51979
E14001258,Guildford,2,Male,49757
E14001259,Hackney North and Stoke Newington,1,Female,61033
E14001259,Hackney North and Stoke Newington,2,Male,55235
E14001260,Hackney South and Shoreditch,1,Female,58530
E14001260,Hackney South and Shoreditch,2,Male,54027
E14001261,Halesowen,1,Female,48218
E14001261,Halesowen,2,Male,46519
E14001262,Halifax,1,Female,54969
E14001262,Halifax,2,Male,52615
E14001263,Hamble Valley,1,Female,52510
E14001263,Hamble Valley,2,Male,49860
E14001264,Hammersmith and Chiswick,1,Female,60812
E14001264,Hammersmith and Chiswick,2,Male,55419
E14001265,Hampstead and Highgate,1,Female,61698
E14001265,Hampstead and Highgate,2,Male,55182
E14001266,"Harborough, Oadby and Wigston",1,Female,51862
E14001266,"Harborough, Oadby and Wigston",2,Male,49546
E14001267,Harlow,1,Female,56878
E14001267,Harlow,2,Male,54242
E14001268,Harpenden and Berkhamsted,1,Female,48901
E14001268,Harpenden and Berkhamsted,2,Male,46240
E14001269,Harrogate and Knaresborough,1,Female,51691
E14001269,Harrogate and Knaresborough,2,Male,49491
E14001270,Harrow East,1,Female,59800
E14001270,Harrow East,2,Male,58507
E14001271,Harrow West,1,Female,61040
E14001271,Harrow West,2,Male,60347
E14001272,Hartlepool,1,Female,47653
E14001272,Hartlepool,2,Male,44685
E14001273,Harwich and North Essex,1,Female,50437
E14001273,Harwich and North Essex,2,Male,47667
E14001274,Hastings and Rye,1,Female,54044
E14001274,Hastings and Rye,2,Male,50773
E14001275,Havant,1,Female,49240
E14001275,Havant,2,Male,45765
E14001276,Hayes and Harlington,1,Female,63108
E14001276,Hayes and Harlington,2,Male,63294
E14001277,Hazel Grove,1,Female,48688
E14001277,Hazel Grove,2,Male,45762
