Constituen,gss_code,Leave.preds,Remain.preds,LeavePct,RemainPct
Hamilton and Clyde Valley,S14000092,17369.18577,30674.49919,0.361529008,0.638470992
Hammersmith and Chiswick,E14001264,16330.17845,38207.43955,0.299429624,0.700570376
Hampstead and Highgate,E14001265,12423.30347,45528.41273,0.214373349,0.785626651
"Harborough, Oadby and Wigston",E14001266,28702.85867,26277.79396,0.522053801,0.477946199
Harlow,E14001267,36568.37931,18527.94135,0.663717266,0.336282734
Harpenden and Berkhamsted,E14001268,23895.24254,36406.53151,0.396261021,0.603738979
Harrogate and Knaresborough,E14001269,28416.96279,31368.12484,0.475318577,0.524681423
Harrow East,E14001270,24570.18333,25549.27746,0.490232396,0.509767604
Harrow West,E14001271,22100.10222,28925.89036,0.433114597,0.566885403
Hartlepool,E14001272,32071,14029,0.695683297,0.304316703
Harwich and North Essex,E14001273,32333.57651,22404.85468,0.590692422,0.409307578
Hastings and Rye,E14001274,29748.6045,23596.56779,0.557662544,0.442337456
Havant,E14001275,32952.6516,20419.07799,0.61741772,0.38258228
Hayes and Harlington,E14001276,27136.25912,19766.04287,0.578569878,0.421430123
Hazel Grove,E14001277,28951.52121,26384.33762,0.523196383,0.476803617
Hemel Hempstead,E14001278,29742.25155,23517.04222,0.55844247,0.44155753
Hendon,E14001279,18770.90066,26368.304,0.415844736,0.584155264
Henley and Thame,E14001280,23269.64122,31745.09629,0.422971049,0.577028951
Hereford and South Herefordshire,E14001281,31125.72599,19843.03493,0.610682415,0.389317585
Herne Bay and Sandwich,E14001282,31424.55492,19864.87644,0.612690648,0.387309352
Hertford and Stortford,E14001283,29051.16818,30552.14046,0.48740865,0.51259135
Hertsmere,E14001284,27936.55043,26748.10704,0.510866333,0.489133667
Hexham,E14001285,26236.79455,30516.68915,0.462293992,0.537706008
Heywood and Middleton North,E14001286,29812.79957,18533.9823,0.616644964,0.383355036
High Peak,E14001287,27717,27116,0.505480277,0.494519724
Hinckley and Bosworth,E14001288,33880.05719,22158.95242,0.604579871,0.395420129
Hitchin,E14001289,25719.07382,29026.99332,0.469788519,0.530211481
Holborn and St Pancras,E14001290,12586.25638,32868.91247,0.276893843,0.723106157
Honiton and Sidmouth,E14001291,31287.63947,25007.07989,0.555782848,0.444217152
Hornchurch and Upminster,E14001292,40498.04082,18109.57881,0.691002997,0.308997003
Hornsey and Friern Barnet,E14001293,9855.302559,46631.97279,0.174469427,0.825530573
Horsham,E14001294,28041.55836,28714.30742,0.494073308,0.505926692
Houghton and Sunderland South,E14001295,30522.29989,17408.76265,0.636795812,0.363204188
Hove and Portslade,E14001296,17308.66379,36571.31477,0.321244816,0.678755184
Huddersfield,E14001297,26393.91619,23780.38669,0.526044502,0.473955498
Huntingdon,E14001298,31047.55083,29065.95616,0.516482108,0.483517892
